"ensembl_gene_id"	"external_gene_id"	"description"
"79"	"ENSMUSG00000002814"	"Top3a"	"topoisomerase (DNA) III alpha [Source:MGI Symbol;Acc:MGI:1197527]"
"80"	"ENSMUSG00000002825"	"Qtrt1"	"queuine tRNA-ribosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1931441]"
"81"	"ENSMUSG00000002833"	"Hdgfrp2"	"hepatoma-derived growth factor, related protein 2 [Source:MGI Symbol;Acc:MGI:1194492]"
"82"	"ENSMUSG00000002963"	"Pnkp"	"polynucleotide kinase 3'- phosphatase [Source:MGI Symbol;Acc:MGI:1891698]"
"83"	"ENSMUSG00000002985"	"Apoe"	"apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]"
"84"	"ENSMUSG00000003039"	"Fam32a"	"family with sequence similarity 32, member A [Source:MGI Symbol;Acc:MGI:1915172]"
"85"	"ENSMUSG00000003131"	"Pafah1b2"	"platelet-activating factor acetylhydrolase, isoform 1b, subunit 2 [Source:MGI Symbol;Acc:MGI:108415]"
"86"	"ENSMUSG00000003161"	"Sri"	"sorcin [Source:MGI Symbol;Acc:MGI:98419]"
"87"	"ENSMUSG00000003200"	"Sh3gl1"	"SH3-domain GRB2-like 1 [Source:MGI Symbol;Acc:MGI:700010]"
"88"	"ENSMUSG00000003226"	"Ranbp2"	"RAN binding protein 2 [Source:MGI Symbol;Acc:MGI:894323]"
"89"	"ENSMUSG00000003299"	"Mrpl4"	"mitochondrial ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:2137210]"
"90"	"ENSMUSG00000003355"	"Fkbp11"	"FK506 binding protein 11 [Source:MGI Symbol;Acc:MGI:1913370]"
"91"	"ENSMUSG00000003360"	"Ddx23"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 [Source:MGI Symbol;Acc:MGI:1921601]"
"92"	"ENSMUSG00000003410"	"Elavl3"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C) [Source:MGI Symbol;Acc:MGI:109157]"
"93"	"ENSMUSG00000003421"	"Nosip"	"nitric oxide synthase interacting protein [Source:MGI Symbol;Acc:MGI:1913644]"
"94"	"ENSMUSG00000003429"	"Rps11"	"ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]"
"95"	"ENSMUSG00000003435"	"Supt5"	"suppressor of Ty 5 [Source:MGI Symbol;Acc:MGI:1202400]"
"96"	"ENSMUSG00000003518"	"Dusp3"	"dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) [Source:MGI Symbol;Acc:MGI:1919599]"
"97"	"ENSMUSG00000003528"	"Slc25a1"	"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345283]"
"98"	"ENSMUSG00000003604"	"Aven"	"apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]"
"99"	"ENSMUSG00000003660"	"Snrnp200"	"small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401]"
"100"	"ENSMUSG00000003808"	"Farsa"	"phenylalanyl-tRNA synthetase, alpha subunit [Source:MGI Symbol;Acc:MGI:1913840]"
"101"	"ENSMUSG00000003814"	"Calr"	"calreticulin [Source:MGI Symbol;Acc:MGI:88252]"
"102"	"ENSMUSG00000003848"	"Nob1"	"NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914869]"
"103"	"ENSMUSG00000003849"	"Nqo1"	"NAD(P)H dehydrogenase, quinone 1 [Source:MGI Symbol;Acc:MGI:103187]"
"104"	"ENSMUSG00000003923"	"Tfam"	"transcription factor A, mitochondrial [Source:MGI Symbol;Acc:MGI:107810]"
"105"	"ENSMUSG00000003970"	"Rpl8"	"ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]"
"106"	"ENSMUSG00000004032"	"Gstm5"	"glutathione S-transferase, mu 5 [Source:MGI Symbol;Acc:MGI:1309466]"
"107"	"ENSMUSG00000004040"	"Stat3"	"signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]"
"108"	"ENSMUSG00000004044"	"Ptrf"	"polymerase I and transcript release factor [Source:MGI Symbol;Acc:MGI:1277968]"
"109"	"ENSMUSG00000004069"	"Dnaja3"	"DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:MGI Symbol;Acc:MGI:1933786]"
"110"	"ENSMUSG00000004085"	"Zak"	"sterile alpha motif and leucine zipper containing kinase AZK [Source:MGI Symbol;Acc:MGI:2443258]"
"111"	"ENSMUSG00000004096"	"Cwc15"	"CWC15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913320]"
"112"	"ENSMUSG00000004099"	"Dnmt1"	"DNA methyltransferase (cytosine-5) 1 [Source:MGI Symbol;Acc:MGI:94912]"
"113"	"ENSMUSG00000004100"	"Ppan"	"peter pan homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:2178445]"
"114"	"ENSMUSG00000004105"	"Angptl2"	"angiopoietin-like 2 [Source:MGI Symbol;Acc:MGI:1347002]"
"115"	"ENSMUSG00000004127"	"Trmt10a"	"tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421]"
"116"	"ENSMUSG00000004207"	"Psap"	"prosaposin [Source:MGI Symbol;Acc:MGI:97783]"
"117"	"ENSMUSG00000004233"	"Wars2"	"tryptophanyl tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1917810]"
"118"	"ENSMUSG00000004264"	"Phb2"	"prohibitin 2 [Source:MGI Symbol;Acc:MGI:102520]"
"119"	"ENSMUSG00000004267"	"Eno2"	"enolase 2, gamma neuronal [Source:MGI Symbol;Acc:MGI:95394]"
"120"	"ENSMUSG00000004268"	"Emg1"	"EMG1 nucleolar protein homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1315195]"
"121"	"ENSMUSG00000004356"	"Utp20"	"UTP20, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1917933]"
"122"	"ENSMUSG00000004393"	"Ddx56"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 [Source:MGI Symbol;Acc:MGI:1277172]"
"123"	"ENSMUSG00000004446"	"Bid"	"BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]"
"124"	"ENSMUSG00000004455"	"Ppp1cc"	"protein phosphatase 1, catalytic subunit, gamma isoform [Source:MGI Symbol;Acc:MGI:104872]"
"125"	"ENSMUSG00000004530"	"Coro1c"	"coronin, actin binding protein 1C [Source:MGI Symbol;Acc:MGI:1345964]"
"126"	"ENSMUSG00000004535"	"Tax1bp1"	"Tax1 (human T cell leukemia virus type I) binding protein 1 [Source:MGI Symbol;Acc:MGI:1289308]"
"127"	"ENSMUSG00000004558"	"Ndrg2"	"N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]"
"128"	"ENSMUSG00000004562"	"Arhgef40"	"Rho guanine nucleotide exchange factor (GEF) 40 [Source:MGI Symbol;Acc:MGI:2685515]"
"129"	"ENSMUSG00000004591"	"Pkn2"	"protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211]"
"130"	"ENSMUSG00000004642"	"Slbp"	"stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]"
"131"	"ENSMUSG00000004665"	"Cnn2"	"calponin 2 [Source:MGI Symbol;Acc:MGI:105093]"
"132"	"ENSMUSG00000004865"	"Srpk1"	"serine/arginine-rich protein specific kinase 1 [Source:MGI Symbol;Acc:MGI:106908]"
"133"	"ENSMUSG00000004880"	"Lbr"	"lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]"
"134"	"ENSMUSG00000004891"	"Nes"	"nestin [Source:MGI Symbol;Acc:MGI:101784]"
"135"	"ENSMUSG00000004895"	"Prcc"	"papillary renal cell carcinoma (translocation-associated) [Source:MGI Symbol;Acc:MGI:2137738]"
"136"	"ENSMUSG00000004929"	"Thop1"	"thimet oligopeptidase 1 [Source:MGI Symbol;Acc:MGI:1354165]"
"137"	"ENSMUSG00000004931"	"Apba3"	"amyloid beta (A4) precursor protein-binding, family A, member 3 [Source:MGI Symbol;Acc:MGI:1888527]"
"138"	"ENSMUSG00000004951"	"Hspb1"	"heat shock protein 1 [Source:MGI Symbol;Acc:MGI:96240]"
"139"	"ENSMUSG00000004980"	"Hnrnpa2b1"	"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]"
"140"	"ENSMUSG00000005054"	"Cstb"	"cystatin B [Source:MGI Symbol;Acc:MGI:109514]"
"141"	"ENSMUSG00000005087"	"Cd44"	"CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"
"142"	"ENSMUSG00000005107"	"Slc2a9"	"solute carrier family 2 (facilitated glucose transporter), member 9 [Source:MGI Symbol;Acc:MGI:2152844]"
"143"	"ENSMUSG00000005125"	"Ndrg1"	"N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799]"
"144"	"ENSMUSG00000005161"	"Prdx2"	"peroxiredoxin 2 [Source:MGI Symbol;Acc:MGI:109486]"
"145"	"ENSMUSG00000005198"	"Polr2a"	"polymerase (RNA) II (DNA directed) polypeptide A [Source:MGI Symbol;Acc:MGI:98086]"
"146"	"ENSMUSG00000005204"	"Senp3"	"SUMO/sentrin specific peptidase 3 [Source:MGI Symbol;Acc:MGI:2158736]"
"147"	"ENSMUSG00000005299"	"Letm1"	"leucine zipper-EF-hand containing transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1932557]"
"148"	"ENSMUSG00000005312"	"Ubqln1"	"ubiquilin 1 [Source:MGI Symbol;Acc:MGI:1860276]"
"149"	"ENSMUSG00000005354"	"Txn2"	"thioredoxin 2 [Source:MGI Symbol;Acc:MGI:1929468]"
"150"	"ENSMUSG00000005355"	"Casp14"	"caspase 14 [Source:MGI Symbol;Acc:MGI:1335092]"
"151"	"ENSMUSG00000005370"	"Msh6"	"mutS homolog 6 (E. coli) [Source:MGI Symbol;Acc:MGI:1343961]"
"152"	"ENSMUSG00000005374"	"Tbl2"	"transducin (beta)-like 2 [Source:MGI Symbol;Acc:MGI:1351652]"
"153"	"ENSMUSG00000005378"	"Wbscr22"	"Williams Beuren syndrome chromosome region 22 [Source:MGI Symbol;Acc:MGI:1913388]"
"154"	"ENSMUSG00000005410"	"Mcm5"	"minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:103197]"
"155"	"ENSMUSG00000005447"	"Pafah1b3"	"platelet-activating factor acetylhydrolase, isoform 1b, subunit 3 [Source:MGI Symbol;Acc:MGI:108414]"
"156"	"ENSMUSG00000005481"	"Ddx39"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 [Source:MGI Symbol;Acc:MGI:1915528]"
"157"	"ENSMUSG00000005506"	"Celf1"	"CUGBP, Elav-like family member 1 [Source:MGI Symbol;Acc:MGI:1342295]"
"158"	"ENSMUSG00000005566"	"Trim28"	"tripartite motif-containing 28 [Source:MGI Symbol;Acc:MGI:109274]"
"159"	"ENSMUSG00000005610"	"Eif4g2"	"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]"
"160"	"ENSMUSG00000005625"	"Psmd4"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:MGI Symbol;Acc:MGI:1201670]"
"161"	"ENSMUSG00000005667"	"Mthfd2"	"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]"
"162"	"ENSMUSG00000005682"	"Pan2"	"PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1918984]"
"163"	"ENSMUSG00000005683"	"Cs"	"citrate synthase [Source:MGI Symbol;Acc:MGI:88529]"
"164"	"ENSMUSG00000005698"	"Ctcf"	"CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]"
"165"	"ENSMUSG00000005732"	"Ranbp1"	"RAN binding protein 1 [Source:MGI Symbol;Acc:MGI:96269]"
"166"	"ENSMUSG00000005813"	"Metap1"	"methionyl aminopeptidase 1 [Source:MGI Symbol;Acc:MGI:1922874]"
"167"	"ENSMUSG00000005846"	"Rsl1d1"	"ribosomal L1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1913659]"
"168"	"ENSMUSG00000005981"	"Trap1"	"TNF receptor-associated protein 1 [Source:MGI Symbol;Acc:MGI:1915265]"
"169"	"ENSMUSG00000006005"	"Tpr"	"translocated promoter region [Source:MGI Symbol;Acc:MGI:1922066]"
"170"	"ENSMUSG00000006019"	"Dhx34"	"DEAH (Asp-Glu-Ala-His) box polypeptide 34 [Source:MGI Symbol;Acc:MGI:1918973]"
"171"	"ENSMUSG00000006134"	"Crkl"	"v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Source:MGI Symbol;Acc:MGI:104686]"
"172"	"ENSMUSG00000006169"	"Clint1"	"clathrin interactor 1 [Source:MGI Symbol;Acc:MGI:2144243]"
"173"	"ENSMUSG00000006219"	"Fblim1"	"filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]"
"174"	"ENSMUSG00000006333"	"Rps9"	"ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1924096]"
"175"	"ENSMUSG00000006356"	"Crip2"	"cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]"
"176"	"ENSMUSG00000006373"	"Pgrmc1"	"progesterone receptor membrane component 1 [Source:MGI Symbol;Acc:MGI:1858305]"
"177"	"ENSMUSG00000006398"	"Cdc20"	"cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]"
"178"	"ENSMUSG00000006456"	"Rbm14"	"RNA binding motif protein 14 [Source:MGI Symbol;Acc:MGI:1929092]"
"179"	"ENSMUSG00000006498"	"Ptbp1"	"polypyrimidine tract binding protein 1 [Source:MGI Symbol;Acc:MGI:97791]"
"180"	"ENSMUSG00000006589"	"Aprt"	"adenine phosphoribosyl transferase [Source:MGI Symbol;Acc:MGI:88061]"
"181"	"ENSMUSG00000006676"	"Usp19"	"ubiquitin specific peptidase 19 [Source:MGI Symbol;Acc:MGI:1918722]"
"182"	"ENSMUSG00000006699"	"Cdc42"	"cell division cycle 42 [Source:MGI Symbol;Acc:MGI:106211]"
"183"	"ENSMUSG00000006740"	"Kif5b"	"kinesin family member 5B [Source:MGI Symbol;Acc:MGI:1098268]"
"184"	"ENSMUSG00000006932"	"Ctnnb1"	"catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]"
"185"	"ENSMUSG00000006941"	"Eif1b"	"eukaryotic translation initiation factor 1B [Source:MGI Symbol;Acc:MGI:1916219]"
"186"	"ENSMUSG00000007050"	"Lsm2"	"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:90676]"
"187"	"ENSMUSG00000007338"	"Mrpl49"	"mitochondrial ribosomal protein L49 [Source:MGI Symbol;Acc:MGI:108180]"
"188"	"ENSMUSG00000007564"	"Ppp2r1a"	"protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform [Source:MGI Symbol;Acc:MGI:1926334]"
"189"	"ENSMUSG00000007603"	"Dus3l"	"dihydrouridine synthase 3-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2147092]"
"190"	"ENSMUSG00000007670"	"Khsrp"	"KH-type splicing regulatory protein [Source:MGI Symbol;Acc:MGI:1336214]"
"191"	"ENSMUSG00000007721"	"Ccdc124"	"coiled-coil domain containing 124 [Source:MGI Symbol;Acc:MGI:1916403]"
"192"	"ENSMUSG00000007739"	"Cct4"	"chaperonin containing Tcp1, subunit 4 (delta) [Source:MGI Symbol;Acc:MGI:104689]"
"193"	"ENSMUSG00000007836"	"Hnrnpa0"	"heterogeneous nuclear ribonucleoprotein A0 [Source:MGI Symbol;Acc:MGI:1924384]"
"194"	"ENSMUSG00000007850"	"Hnrnph1"	"heterogeneous nuclear ribonucleoprotein H1 [Source:MGI Symbol;Acc:MGI:1891925]"
"195"	"ENSMUSG00000007891"	"Ctsd"	"cathepsin D [Source:MGI Symbol;Acc:MGI:88562]"
"196"	"ENSMUSG00000007892"	"Rplp1"	"ribosomal protein, large, P1 [Source:MGI Symbol;Acc:MGI:1927099]"
"197"	"ENSMUSG00000008200"	"Fnbp4"	"formin binding protein 4 [Source:MGI Symbol;Acc:MGI:1860513]"
"198"	"ENSMUSG00000008301"	"Phax"	"phosphorylated adaptor for RNA export [Source:MGI Symbol;Acc:MGI:1891839]"
"199"	"ENSMUSG00000008333"	"Snrpb2"	"U2 small nuclear ribonucleoprotein B [Source:MGI Symbol;Acc:MGI:104805]"
"200"	"ENSMUSG00000008348"	"Ubc"	"ubiquitin C [Source:MGI Symbol;Acc:MGI:98889]"
