"EnsemblID"	"Name"	"HeLa"	"description"
"171"	"ENSMUSG00000029404"	"Arl6ip4"	"RNAbinding"	"ADP-ribosylation factor-like 6 interacting protein 4 [Source:MGI Symbol;Acc:MGI:1929500]"
"180"	"ENSMUSG00000076441"	"Ass1"	"RNAbinding"	"argininosuccinate synthetase 1 [Source:MGI Symbol;Acc:MGI:88090]"
"189"	"ENSMUSG00000025428"	"Atp5a1"	"RNAbinding"	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 [Source:MGI Symbol;Acc:MGI:88115]"
"191"	"ENSMUSG00000025781"	"Atp5c1"	"RNAbinding"	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:MGI Symbol;Acc:MGI:1261437]"
"196"	"ENSMUSG00000042605"	"Atxn2"	"RNAbinding"	"ataxin 2 [Source:MGI Symbol;Acc:MGI:1277223]"
"197"	"ENSMUSG00000032637"	"Atxn2l"	"RNAbinding"	"ataxin 2-like [Source:MGI Symbol;Acc:MGI:2446242]"
"203"	"ENSMUSG00000004085"	"B230120H23Rik"	"RNAbinding"	"sterile alpha motif and leucine zipper containing kinase AZK [Source:MGI Symbol;Acc:MGI:2443258]"
"209"	"ENSMUSG00000027580"	"BC006779"	"RNAbinding"	"helicase with zinc finger 2, transcriptional coactivator [Source:MGI Symbol;Acc:MGI:2385169]"
"215"	"ENSMUSG00000030983"	"Bccip"	"RNAbinding"	"BRCA2 and CDKN1A interacting protein [Source:MGI Symbol;Acc:MGI:1913415]"
"218"	"ENSMUSG00000037608"	"Bclaf1"	"RNAbinding"	"BCL2-associated transcription factor 1 [Source:MGI Symbol;Acc:MGI:1917580]"
"220"	"ENSMUSG00000014329"	"Bicc1"	"RNAbinding"	"bicaudal C homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1933388]"
"225"	"ENSMUSG00000030138"	"Bms1"	"RNAbinding"	"BMS1 homolog, ribosome assembly protein (yeast) [Source:MGI Symbol;Acc:MGI:2446132]"
"229"	"ENSMUSG00000022557"	"Bop1"	"RNAbinding"	"block of proliferation 1 [Source:MGI Symbol;Acc:MGI:1334460]"
"232"	"ENSMUSG00000022247"	"Brix1"	"RNAbinding"	"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915082]"
"236"	"ENSMUSG00000046718"	"Bst2"	"RNAbinding"	"bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]"
"237"	"ENSMUSG00000021660"	"Btf3"	"RNAbinding"	"basic transcription factor 3 [Source:MGI Symbol;Acc:MGI:1202875]"
"239"	"ENSMUSG00000032077"	"Bud13"	"RNAbinding"	"BUD13 homolog (yeast) [Source:MGI Symbol;Acc:MGI:2443443]"
"240"	"ENSMUSG00000023988"	"Bysl"	"RNAbinding"	"bystin-like [Source:MGI Symbol;Acc:MGI:1858419]"
"241"	"ENSMUSG00000051223"	"Bzw1"	"RNAbinding"	"basic leucine zipper and W2 domains 1 [Source:MGI Symbol;Acc:MGI:1914132]"
"244"	"ENSMUSG00000052137"	"C430048L16Rik"	"RNAbinding"	"RNA binding motif protein 12 B2 [Source:MGI Symbol;Acc:MGI:1924854]"
"245"	"ENSMUSG00000026405"	"C4bp"	"RNAbinding"	"complement component 4 binding protein [Source:MGI Symbol;Acc:MGI:88229]"
"249"	"ENSMUSG00000003814"	"Calr"	"RNAbinding"	"calreticulin [Source:MGI Symbol;Acc:MGI:88252]"
"251"	"ENSMUSG00000020368"	"Canx"	"RNAbinding"	"calnexin [Source:MGI Symbol;Acc:MGI:88261]"
"253"	"ENSMUSG00000027184"	"Caprin1"	"RNAbinding"	"cell cycle associated protein 1 [Source:MGI Symbol;Acc:MGI:1858234]"
"259"	"ENSMUSG00000078676"	"Casc3"	"RNAbinding"	"cancer susceptibility candidate 3 [Source:MGI Symbol;Acc:MGI:2179723]"
"262"	"ENSMUSG00000021585"	"Cast"	"RNAbinding"	"calpastatin [Source:MGI Symbol;Acc:MGI:1098236]"
"265"	"ENSMUSG00000020074"	"Ccar1"	"RNAbinding"	"cell division cycle and apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:1914750]"
"267"	"ENSMUSG00000047021"	"Ccdc108"	"RNAbinding"	"coiled-coil domain containing 108 [Source:MGI Symbol;Acc:MGI:2444274]"
"268"	"ENSMUSG00000007721"	"Ccdc124"	"RNAbinding"	"coiled-coil domain containing 124 [Source:MGI Symbol;Acc:MGI:1916403]"
"269"	"ENSMUSG00000049957"	"Ccdc137"	"RNAbinding"	"coiled-coil domain containing 137 [Source:MGI Symbol;Acc:MGI:1914541]"
"273"	"ENSMUSG00000078622"	"Ccdc47"	"RNAbinding"	"coiled-coil domain containing 47 [Source:MGI Symbol;Acc:MGI:1914413]"
"275"	"ENSMUSG00000037958"	"Ccdc55"	"RNAbinding"	"coiled-coil domain containing 55 [Source:MGI Symbol;Acc:MGI:2144305]"
"276"	"ENSMUSG00000019897"	"Ccdc59"	"RNAbinding"	"coiled-coil domain containing 59 [Source:MGI Symbol;Acc:MGI:1289302]"
"278"	"ENSMUSG00000024732"	"Ccdc86"	"RNAbinding"	"coiled-coil domain containing 86 [Source:MGI Symbol;Acc:MGI:1277220]"
"281"	"ENSMUSG00000041375"	"Ccdc9"	"RNAbinding"	"coiled-coil domain containing 9 [Source:MGI Symbol;Acc:MGI:1921443]"
"288"	"ENSMUSG00000007739"	"Cct4"	"RNAbinding"	"chaperonin containing Tcp1, subunit 4 (delta) [Source:MGI Symbol;Acc:MGI:104689]"
"290"	"ENSMUSG00000029447"	"Cct6a"	"RNAbinding"	"chaperonin containing Tcp1, subunit 6a (zeta) [Source:MGI Symbol;Acc:MGI:107943]"
"296"	"ENSMUSG00000047649"	"Cd3eap"	"RNAbinding"	"CD3E antigen, epsilon polypeptide associated protein [Source:MGI Symbol;Acc:MGI:1917583]"
"302"	"ENSMUSG00000038446"	"Cdc40"	"RNAbinding"	"cell division cycle 40 [Source:MGI Symbol;Acc:MGI:1918963]"
"304"	"ENSMUSG00000041598"	"Cdc42ep4"	"RNAbinding"	"CDC42 effector protein (Rho GTPase binding) 4 [Source:MGI Symbol;Acc:MGI:1929760]"
"311"	"ENSMUSG00000024081"	"Cebpz"	"RNAbinding"	"CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]"
"312"	"ENSMUSG00000005506"	"Celf1"	"RNAbinding"	"CUGBP, Elav-like family member 1 [Source:MGI Symbol;Acc:MGI:1342295]"
"323"	"ENSMUSG00000045193"	"Cirbp"	"RNAbinding"	"cold inducible RNA binding protein [Source:MGI Symbol;Acc:MGI:893588]"
"324"	"ENSMUSG00000041438"	"Cirh1a"	"RNAbinding"	"cirrhosis, autosomal recessive 1A (human) [Source:MGI Symbol;Acc:MGI:1096573]"
"326"	"ENSMUSG00000028165"	"Cisd2"	"RNAbinding"	"CDGSH iron sulfur domain 2 [Source:MGI Symbol;Acc:MGI:1914256]"
"327"	"ENSMUSG00000046841"	"Ckap4"	"RNAbinding"	"cytoskeleton-associated protein 4 [Source:MGI Symbol;Acc:MGI:2444926]"
"333"	"ENSMUSG00000032316"	"Clk3"	"RNAbinding"	"CDC-like kinase 3 [Source:MGI Symbol;Acc:MGI:1098670]"
"336"	"ENSMUSG00000025439"	"Clns1a"	"RNAbinding"	"chloride channel, nucleotide-sensitive, 1A [Source:MGI Symbol;Acc:MGI:109638]"
"340"	"ENSMUSG00000030057"	"Cnbp"	"RNAbinding"	"cellular nucleic acid binding protein [Source:MGI Symbol;Acc:MGI:88431]"
"343"	"ENSMUSG00000036550"	"Cnot1"	"RNAbinding"	"CCR4-NOT transcription complex, subunit 1 [Source:MGI Symbol;Acc:MGI:2442402]"
"349"	"ENSMUSG00000022371"	"Col14a1"	"RNAbinding"	"collagen, type XIV, alpha 1 [Source:MGI Symbol;Acc:MGI:1341272]"
"358"	"ENSMUSG00000030707"	"Coro1a"	"RNAbinding"	"coronin, actin binding protein 1A [Source:MGI Symbol;Acc:MGI:1345961]"
"364"	"ENSMUSG00000039782"	"Cpeb2"	"RNAbinding"	"cytoplasmic polyadenylation element binding protein 2 [Source:MGI Symbol;Acc:MGI:2442640]"
"365"	"ENSMUSG00000039652"	"Cpeb3"	"RNAbinding"	"cytoplasmic polyadenylation element binding protein 3 [Source:MGI Symbol;Acc:MGI:2443075]"
"366"	"ENSMUSG00000020300"	"Cpeb4"	"RNAbinding"	"cytoplasmic polyadenylation element binding protein 4 [Source:MGI Symbol;Acc:MGI:1914829]"
"369"	"ENSMUSG00000028228"	"Cpne3"	"RNAbinding"	"copine III [Source:MGI Symbol;Acc:MGI:1917818]"
"372"	"ENSMUSG00000055531"	"Cpsf6"	"RNAbinding"	"cleavage and polyadenylation specific factor 6 [Source:MGI Symbol;Acc:MGI:1913948]"
"373"	"ENSMUSG00000034820"	"Cpsf7"	"RNAbinding"	"cleavage and polyadenylation specific factor 7 [Source:MGI Symbol;Acc:MGI:1917826]"
"376"	"ENSMUSG00000006134"	"Crkl"	"RNAbinding"	"v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Source:MGI Symbol;Acc:MGI:104686]"
"381"	"ENSMUSG00000030189"	"Csda"	"RNAbinding"	"Y box protein 3 [Source:MGI Symbol;Acc:MGI:2137670]"
"382"	"ENSMUSG00000068823"	"Csde1"	"RNAbinding"	"cold shock domain containing E1, RNA binding [Source:MGI Symbol;Acc:MGI:92356]"
"387"	"ENSMUSG00000026421"	"Csrp1"	"RNAbinding"	"cysteine and glycine-rich protein 1 [Source:MGI Symbol;Acc:MGI:88549]"
"389"	"ENSMUSG00000005054"	"Cstb"	"RNAbinding"	"cystatin B [Source:MGI Symbol;Acc:MGI:109514]"
"390"	"ENSMUSG00000027498"	"Cstf1"	"RNAbinding"	"cleavage stimulation factor, 3' pre-RNA, subunit 1 [Source:MGI Symbol;Acc:MGI:1914587]"
"391"	"ENSMUSG00000031256"	"Cstf2"	"RNAbinding"	"cleavage stimulation factor, 3' pre-RNA subunit 2 [Source:MGI Symbol;Acc:MGI:1343054]"
"392"	"ENSMUSG00000053536"	"Cstf2t"	"RNAbinding"	"cleavage stimulation factor, 3' pre-RNA subunit 2, tau [Source:MGI Symbol;Acc:MGI:1932622]"
"396"	"ENSMUSG00000037815"	"Ctnna1"	"RNAbinding"	"catenin (cadherin associated protein), alpha 1 [Source:MGI Symbol;Acc:MGI:88274]"
"416"	"ENSMUSG00000001783"	"D10Wsu52e"	"RNAbinding"	"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]"
"417"	"ENSMUSG00000040651"	"D14Abb1e"	"RNAbinding"	"DNA segment, Chr 14, Abbott 1 expressed [Source:MGI Symbol;Acc:MGI:1921694]"
"419"	"ENSMUSG00000041360"	"D19Bwg1357e"	"RNAbinding"	"DNA segment, Chr 19, Brigham & Women's Genetics 1357 expressed [Source:MGI Symbol;Acc:MGI:106253]"
"420"	"ENSMUSG00000039224"	"D1Pas1"	"RNAbinding"	"DNA segment, Chr 1, Pasteur Institute 1 [Source:MGI Symbol;Acc:MGI:91842]"
"422"	"ENSMUSG00000039660"	"D2Wsu81e"	"RNAbinding"	"DNA segment, Chr 2, Wayne State University 81, expressed [Source:MGI Symbol;Acc:MGI:106544]"
"431"	"ENSMUSG00000068921"	"Dap3"	"RNAbinding"	"death associated protein 3 [Source:MGI Symbol;Acc:MGI:1929538]"
"432"	"ENSMUSG00000026356"	"Dars"	"RNAbinding"	"aspartyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2442544]"
"434"	"ENSMUSG00000069565"	"Dazap1"	"RNAbinding"	"DAZ associated protein 1 [Source:MGI Symbol;Acc:MGI:1917498]"
"439"	"ENSMUSG00000032469"	"Dbr1"	"RNAbinding"	"debranching enzyme homolog 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1931520]"
"441"	"ENSMUSG00000022300"	"Dcaf13"	"RNAbinding"	"DDB1 and CUL4 associated factor 13 [Source:MGI Symbol;Acc:MGI:2684929]"
"442"	"ENSMUSG00000019929"	"Dcn"	"RNAbinding"	"decorin [Source:MGI Symbol;Acc:MGI:94872]"
"447"	"ENSMUSG00000037149"	"Ddx1"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 1 [Source:MGI Symbol;Acc:MGI:2144727]"
"448"	"ENSMUSG00000053289"	"Ddx10"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 [Source:MGI Symbol;Acc:MGI:1924841]"
"449"	"ENSMUSG00000055065"	"Ddx17"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 [Source:MGI Symbol;Acc:MGI:1914290]"
"450"	"ENSMUSG00000001674"	"Ddx18"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192]"
"453"	"ENSMUSG00000020075"	"Ddx21"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494]"
"455"	"ENSMUSG00000041645"	"Ddx24"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 [Source:MGI Symbol;Acc:MGI:1351337]"
"456"	"ENSMUSG00000017999"	"Ddx27"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 [Source:MGI Symbol;Acc:MGI:2385884]"
"457"	"ENSMUSG00000045538"	"Ddx28"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 28 [Source:MGI Symbol;Acc:MGI:1919236]"
"458"	"ENSMUSG00000026806"	"Ddx31"	"RNAbinding"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 31 [Source:MGI Symbol;Acc:MGI:2682639]"
"459"	"ENSMUSG00000005481"	"Ddx39"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 [Source:MGI Symbol;Acc:MGI:1915528]"
"461"	"ENSMUSG00000000787"	"Ddx3x"	"RNAbinding"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
"463"	"ENSMUSG00000021494"	"Ddx41"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 [Source:MGI Symbol;Acc:MGI:1920185]"
"467"	"ENSMUSG00000030204"	"Ddx47"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 [Source:MGI Symbol;Acc:MGI:1915005]"
"468"	"ENSMUSG00000057788"	"Ddx49"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:MGI Symbol;Acc:MGI:2136689]"
"469"	"ENSMUSG00000020719"	"Ddx5"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 [Source:MGI Symbol;Acc:MGI:105037]"
"470"	"ENSMUSG00000020076"	"Ddx50"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 [Source:MGI Symbol;Acc:MGI:2182303]"
"471"	"ENSMUSG00000029504"	"Ddx51"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 [Source:MGI Symbol;Acc:MGI:1916913]"
"472"	"ENSMUSG00000020677"	"Ddx52"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52 [Source:MGI Symbol;Acc:MGI:1925644]"
"473"	"ENSMUSG00000029599"	"Ddx54"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 [Source:MGI Symbol;Acc:MGI:1919240]"
"474"	"ENSMUSG00000029389"	"Ddx55"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 [Source:MGI Symbol;Acc:MGI:1915098]"
"475"	"ENSMUSG00000004393"	"Ddx56"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 [Source:MGI Symbol;Acc:MGI:1277172]"
"476"	"ENSMUSG00000032097"	"Ddx6"	"RNAbinding"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 [Source:MGI Symbol;Acc:MGI:104976]"
"478"	"ENSMUSG00000021377"	"Dek"	"RNAbinding"	"DEK oncogene (DNA binding) [Source:MGI Symbol;Acc:MGI:1926209]"
"483"	"ENSMUSG00000029169"	"Dhx15"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 15 [Source:MGI Symbol;Acc:MGI:1099786]"
"484"	"ENSMUSG00000024422"	"Dhx16"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 16 [Source:MGI Symbol;Acc:MGI:1916442]"
"486"	"ENSMUSG00000032480"	"Dhx30"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 30 [Source:MGI Symbol;Acc:MGI:1920081]"
"487"	"ENSMUSG00000040620"	"Dhx33"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:MGI Symbol;Acc:MGI:2445102]"
"489"	"ENSMUSG00000027770"	"Dhx36"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 36 [Source:MGI Symbol;Acc:MGI:1919412]"
"492"	"ENSMUSG00000035051"	"Dhx57"	"RNAbinding"	"DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:MGI Symbol;Acc:MGI:2147067]"
"493"	"ENSMUSG00000034931"	"Dhx8"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 8 [Source:MGI Symbol;Acc:MGI:1306823]"
"494"	"ENSMUSG00000042699"	"Dhx9"	"RNAbinding"	"DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"495"	"ENSMUSG00000024456"	"Diap1"	"RNAbinding"	"diaphanous homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1194490]"
"497"	"ENSMUSG00000016181"	"Diexf"	"RNAbinding"	"digestive organ expansion factor homolog (zebrafish) [Source:MGI Symbol;Acc:MGI:2138080]"
"498"	"ENSMUSG00000021692"	"Dimt1"	"RNAbinding"	"DIM1 dimethyladenosine transferase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913504]"
"501"	"ENSMUSG00000031403"	"Dkc1"	"RNAbinding"	"dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]"
"503"	"ENSMUSG00000042102"	"Dmgdh"	"RNAbinding"	"dimethylglycine dehydrogenase precursor [Source:MGI Symbol;Acc:MGI:1921379]"
"510"	"ENSMUSG00000029014"	"Dnajc2"	"RNAbinding"	"DnaJ (Hsp40) homolog, subfamily C, member 2 [Source:MGI Symbol;Acc:MGI:99470]"
"511"	"ENSMUSG00000044224"	"Dnajc21"	"RNAbinding"	"DnaJ (Hsp40) homolog, subfamily C, member 21 [Source:MGI Symbol;Acc:MGI:1925371]"
"517"	"ENSMUSG00000039756"	"Dnttip2"	"RNAbinding"	"deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:MGI Symbol;Acc:MGI:1923173]"
"524"	"ENSMUSG00000022191"	"Drosha"	"RNAbinding"	"drosha, ribonuclease type III [Source:MGI Symbol;Acc:MGI:1261425]"
"529"	"ENSMUSG00000054889"	"Dsp"	"RNAbinding"	"desmoplakin [Source:MGI Symbol;Acc:MGI:109611]"
"535"	"ENSMUSG00000030002"	"Dusp11"	"RNAbinding"	"dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:MGI Symbol;Acc:MGI:1919352]"
"539"	"ENSMUSG00000027203"	"Dut"	"RNAbinding"	"deoxyuridine triphosphatase [Source:MGI Symbol;Acc:MGI:1346051]"
"540"	"ENSMUSG00000018707"	"Dync1h1"	"RNAbinding"	"dynein cytoplasmic 1 heavy chain 1 [Source:MGI Symbol;Acc:MGI:103147]"
